section,placement,ideal_photo_description,new_url
Day 1 · Las Vegas,Day header banner,Wide Las Vegas Strip shot — casinos lit up or aerial — 16:9 landscape,
Day 2–3 · Eastern Sierra,Day header banner,Eastern Sierra peaks with Owens Valley in the foreground — wide mountain landscape,
Day 3 eve · Goldfield,Day header banner,Goldfield NV town or desert highway at dusk — moody wide shot,
Day 4 · Tonopah + Cathedral Gorge,Day header banner,Nevada open desert highway or the Tonopah mining headframes at sunset,
Day 5 · Zion,Day header banner,Zion Canyon walls — the iconic red-and-white cliffs from inside the canyon,
Day 6 · Valley of Fire,Day header banner,Valley of Fire red sandstone formations — wide panoramic shot,
Day 7 · Heading home,Day header banner,Las Vegas Strip from above or at dawn — upbeat departure feel,
Nathan Burton show,Activity dropdown (inside accordion),Stage magic show in action — performer on stage with lights and crowd,
Bishop Creek Canyon,Activity dropdown (inside accordion),Alpine lake with Sierra Nevada peaks reflected in calm water,
Ancient Bristlecone Pine Forest,Activity dropdown (inside accordion),Gnarled ancient bristlecone pine tree against blue sky or mountains,
International Car Forest,Activity dropdown (inside accordion),Cars balanced nose-first in Nevada desert — colorful graffiti-covered vehicles,
Tonopah Historic Mining Park,Activity dropdown (inside accordion),Old mine headframes and equipment — rustic industrial history,
Cathedral Gorge State Park,Activity dropdown (inside accordion),Narrow slot canyon or tall clay spires — the eerie maze-like formations,
Zion Narrows,Activity dropdown (inside accordion),Hikers wading in the Virgin River between towering canyon walls,
Zion Emerald Pools,Activity dropdown (inside accordion),Waterfall dripping into a green pool with canyon walls behind it,
Valley of Fire activity,Activity dropdown (inside accordion),Close-up of Ancestral Puebloan petroglyphs carved into red sandstone,
The Palisades Lodge · Big Pine CA,Lodging accordion (Nights 1–2),Exterior of the lodge or the Big Pine / Eastern Sierra setting — cozy mountain motel feel,
Eclectic Desert Home · Goldfield NV,Lodging accordion (Night 3),Exterior of the Airbnb or Goldfield street — quirky desert character,
Mini Animal Farm · Cedar City UT,Lodging accordion (Nights 4–5),The farm exterior or miniature Highland cows / animals — warm rustic feel,
Highland Estates Condotel · Mesquite NV,Lodging accordion (Night 6),Exterior of the condotel or Mesquite landscape — clean desert resort feel,
